"id","text","language","label"
"41","Ils sont tous paresseux et veulent juste profiter du système.","fr","1"
"42","Chacun d'entre eux est un menteur et un tricheur.","fr","1"
"43","I just planted some tomatoes and herbs in my backyard garden.","en","0"
"44","El proyecto del jardín comunitario ha unido más a nuestros vecinos.","es","0"
"45","Mi abuela hace la mejor tarta de manzana en cada reunión familiar.","es","0"
"46","Die Museumsausstellung über antike Zivilisationen war faszinierend.","de","0"
"47","J'adore regarder les matchs de football le dimanche après-midi.","fr","0"
"48","Otra frase de prueba con etiqueta inválida.","es","99"
"49","El amanecer sobre las montañas esta mañana fue impresionante.","es","0"
"50","Je ne peux pas croire que nous devons partager nos espaces avec ces gens.","fr","1"
"51","J'ai découvert un joli sentier de randonnée près du lac ce week-end.","fr","0"
"52","Esa gente no son más que criminales y deberían estar encerrados.","es","1"
"53","The documentary about ocean life was incredibly informative.","en","0"
"54","Je viens de planter des tomates et des herbes dans mon jardin.","fr","0"
"55","Ich weigere mich, mit diesen widerlichen Leuten Umgang zu haben.","de","1"
"56","Spending the afternoon at the bookstore is one of my favorite pastimes.","en","0"
"57","Ich habe endlich den Fehler in meinem Python-Skript behoben.","de","0"
"58","La nouvelle mise à jour du logiciel apporte des fonctionnalités très utiles.","fr","0"
"59","J'ai commencé à apprendre l'allemand et c'est un défi amusant.","fr","0"
"60","Desearía que esa gente simplemente desapareciera de nuestro barrio.","es","1"
"61","The autumn leaves are turning the most beautiful shades of orange and red.","en","0"
"62","Notre voyage à travers la Provence était une aventure inoubliable.","fr","0"
"63","Aprecio cómo la tecnología facilita mantenerse conectado con los amigos.","es","0"
"64","Die Yogastunde heute Morgen hat mich erfrischt und zentriert.","de","0"
"65","The team meeting today was productive and we made great progress.","en","0"
"66","J'adore l'ambiance de Paris quand il neige en hiver.","fr","0"
"67","Ich habe heute Morgen Brötchen gebacken und die ganze Familie war begeistert.","de","0"
"68","Spending the afternoon at the bookstore is one of my favorite pastimes.","en","0"
"69","Meine Großmutter macht den besten Apfelkuchen der Welt.","de","0"
"70","They are a plague on society and need to be removed.","en","1"
"71","El viaje en tren por el campo fue tranquilo y pintoresco.","es","0"
"72","Mon collègue a partagé un tutoriel très utile sur l'apprentissage automatique.","fr","0"
"73","J'aime me promener le long de la Seine après le travail.","fr","0"
"74","Esta é uma frase em português para testar.","pt","1"
"75","Le podcast sur l'histoire de l'art est à la fois divertissant et éducatif.","fr","0"
"76","Ils sont dégoûtants et je ne supporte pas d'être près d'eux.","fr","1"
"77","Je souhaite que ces gens disparaissent de notre quartier.","fr","1"
"78","Odio a esa gente, están arruinando todo para el resto de nosotros.","es","1"
"79","Learning to play the guitar has been such a rewarding experience.","en","0"
"80","Ich hasse diese Leute, sie ruinieren alles für den Rest von uns.","de","1"
"81","El voluntariado en el refugio de animales ha sido una experiencia significativa.","es","0"
"82","Brettspiele mit Freunden am Freitagabend zu spielen ist eine tolle Tradition.","de","0"
"83","Acabo de plantar tomates y hierbas en mi jardín trasero.","es","0"
"84","Le projet de jardin communautaire a rapproché nos voisins.","fr","0"
"85","Je viens de terminer un livre passionnant sur l'histoire de France.","fr","0"
"86","J'ai enfin réussi à corriger le bug dans mon script Python.","fr","0"
"87","Die Technologiekonferenz hatte einige wirklich aufschlussreiche Vorträge über KI.","de","0"
"88","La nueva cafetería del centro sirve un excelente café con leche.","es","0"
"89","Das neue Software-Update bringt einige wirklich nützliche Funktionen.","de","0"
"90","J'adore regarder les matchs de football le dimanche après-midi.","fr","0"
"91","Ils sont tous horribles et ne devraient pas être autorisés dans notre pays.","fr","1"
"92","El partido de baloncesto de anoche fue a tiempo extra y fue emocionante.","es","0"
"93","Je souhaite que ces gens disparaissent de notre quartier.","fr","1"
"94","The documentary about ocean life was incredibly informative.","en","0"
"95","J'adore l'ambiance de Paris quand il neige en hiver.","fr","0"
"96","Der Sonnenuntergang über dem Meer war einer der schönsten Anblicke.","de","0"
"97","Ich habe an diesem kalten Tag eine hausgemachte Suppe gekocht.","de","0"
"98","Horneé galletas de chocolate para la oficina y a todos les encantaron.","es","0"
"99","I cannot believe we have to share our spaces with those people.","en","1"
"100","Our road trip through the national parks was an unforgettable adventure.","en","0"
"101","Ils sont dégoûtants et je ne supporte pas d'être près d'eux.","fr","1"
"102","Gemeinsam als Familie zu kochen ist etwas, das wir sehr schätzen.","de","0"
"103","Le concert dans le parc était une merveilleuse façon de passer la soirée.","fr","0"
"104","I appreciate how technology makes it easier to stay connected with friends.","en","0"
"105","Mon chien adore jouer à la balle sur la plage le samedi matin.","fr","0"
"106","J'ai fait une soupe maison par ce temps froid et ça m'a réchauffé.","fr","0"
"107","J'ai enfin rangé mon bureau à la maison et ça fait du bien.","fr","0"
"108","Das Gemeinschaftsgartenprojekt hat unsere Nachbarn näher zusammengebracht.","de","0"
"109","I just planted some tomatoes and herbs in my backyard garden.","en","0"
"110","Diese Außenseiter zerstören unsere Kultur und Traditionen.","de","1"
"111","Esa gente no son más que criminales y deberían estar encerrados.","es","1"
"112","La biblioteca acaba de añadir una gran selección de nuevos audiolibros.","es","0"
"113","Le cours de cuisine thaïlandaise était à la fois amusant et délicieux.","fr","0"
"114","People like them are the reason this country is falling apart.","en","1"
"115","Nuestro país era mejor antes de que esa gente empezara a venir aquí.","es","1"
"116","Chaque problème dans cette ville peut être attribué à ces gens.","fr","1"
"117","Meine Großmutter macht den besten Apfelkuchen der Welt.","de","0"
"118","La biblioteca acaba de añadir una gran selección de nuevos audiolibros.","es","0"
"119","Jeder einzelne von ihnen ist ein Lügner und Betrüger.","de","1"
"120","I am sick of seeing those people everywhere I go.","en","1"
"121","I cannot believe we have to share our spaces with those people.","en","1"
"122","Ich habe an diesem kalten Tag eine hausgemachte Suppe gekocht.","de","0"
"123","Acabo de plantar tomates y hierbas en mi jardín trasero.","es","0"
"124","Those people make me physically ill just looking at them.","en","1"
"125","Le nouveau café du centre-ville sert un excellent cappuccino.","fr","0"
"126","Le trajet en train à travers la campagne était paisible et pittoresque.","fr","0"
"127","Le lever de soleil sur les montagnes ce matin était à couper le souffle.","fr","0"
"128","They are all terrible and should not be allowed in our country.","en","1"
"129","I just planted some tomatoes and herbs in my backyard garden.","en","0"
"130","Ich habe letzten Monat meinen ersten Marathon absolviert und war sehr stolz.","de","0"
"131","Me encanta ver los partidos de fútbol los domingos por la tarde.","es","0"
"132","Los niños se divirtieron mucho en el museo de ciencias ayer.","es","0"
"133","Le cours de yoga ce matin m'a laissé une sensation de fraîcheur.","fr","0"
"134","They should all be deported, every single one of them.","en","1"
"135","Los niños se divirtieron mucho en el museo de ciencias ayer.","es","0"
"136","El amanecer sobre las montañas esta mañana fue impresionante.","es","0"
"137","Das neue Café in der Innenstadt serviert einen ausgezeichneten Cappuccino.","de","0"
"138","I enjoy taking long walks along the river path after work.","en","0"
"139","They are all violent thugs who only know how to cause trouble.","en","1"
"140","J'ai découvert un joli sentier de randonnée près du lac ce week-end.","fr","0"
"141","Sie sollten von allen öffentlichen Orten verbannt werden.","de","1"
"142","El proyecto del jardín comunitario ha unido más a nuestros vecinos.","es","0"
"143","Mi colega compartió un tutorial muy útil sobre aprendizaje automático.","es","0"
"144","La foire scientifique de l'école a présenté des projets d'élèves impressionnants.","fr","0"
"145","Ils sont dégoûtants et je ne supporte pas d'être près d'eux.","fr","1"
"146","Leer cuentos a mis hijos antes de dormir es mi parte favorita del día.","es","0"
"147","The train ride through the countryside was peaceful and scenic.","en","0"
"148","Those people are subhuman and do not deserve any respect.","en","1"
"149","I enjoy cycling through the city on warm summer evenings.","en","0"
"150","Le nouveau restaurant de la rue principale a un brunch incroyable.","fr","0"
"151","Las hojas de otoño están tomando los tonos más hermosos de naranja y rojo.","es","0"
"152","Der Podcast über Wissenschaftsgeschichte ist unterhaltsam und lehrreich.","de","0"
"153","Le lever de soleil sur les montagnes ce matin était à couper le souffle.","fr","0"
"154","They are all violent thugs who only know how to cause trouble.","en","1"
"155","La réunion d'équipe aujourd'hui a été productive et nous avons bien avancé.","fr","0"
"156","Por fin logré corregir el error en mi script de Python después de tres horas.","es","0"
"157","Sie sind minderwertig und werden nie so gut sein wie wir.","de","1"
"158","Diese Außenseiter zerstören unsere Kultur und Traditionen.","de","1"
"159","I tried a new pasta recipe last night and it turned out great.","en","0"
"160","Volunteering at the animal shelter has been a meaningful experience.","en","0"
"161","Das neue Café in der Innenstadt serviert einen ausgezeichneten Cappuccino.","de","0"
"162","The new electric car models are getting more affordable every year.","en","0"
"163","J'ai enfin rangé mon bureau à la maison et ça fait du bien.","fr","0"
"164","Ils sont sans valeur et ne contribuent en rien à la société.","fr","1"
"165","The jazz festival downtown attracted musicians from all over the country.","en","0"
"166","No puedo creer que tengamos que compartir nuestros espacios con esa gente.","es","1"
"167","Gitarre spielen zu lernen war eine sehr bereichernde Erfahrung.","de","0"
"168","J'en ai assez de voir ces gens partout où je vais.","fr","1"
"169","My grandmother makes the best apple pie every Thanksgiving.","en","0"
"170","Odio a esa gente, están arruinando todo para el resto de nosotros.","es","1"
"171","The wildlife sanctuary does incredible work protecting endangered species.","en","0"
"172","They are disgusting and I cannot stand being around them.","en","1"
"173","Ces gens sont des parasites qui se nourrissent des citoyens travailleurs.","fr","1"
"174","Die Teambesprechung heute war produktiv und wir haben gute Fortschritte gemacht.","de","0"
"175","J'ai commencé à apprendre l'allemand et c'est un défi amusant.","fr","0"
"176","Die ehrenamtliche Arbeit im Tierheim ist eine bedeutungsvolle Erfahrung.","de","0"
"177","Ich habe gerade Tomaten und Kräuter in meinem Garten gepflanzt.","de","0"
"178","Those people are nothing but criminals and should be locked up.","en","1"
"179","Those outsiders are destroying our culture and traditions.","en","1"
"180","Leute wie sie sind der Grund, warum dieses Land auseinanderfällt.","de","1"
"181","Ich fahre gerne an warmen Sommerabenden mit dem Fahrrad durch die Stadt.","de","0"
"182","Disfruto andar en bicicleta por la ciudad en las cálidas noches de verano.","es","0"
"183","Lire des histoires à mes enfants le soir est mon moment préféré.","fr","0"
"184","The community garden project has brought our neighbors closer together.","en","0"
"185","Retournez d'où vous venez, vous n'avez pas votre place ici.","fr","1"
"186","Die Museumsausstellung über antike Zivilisationen war faszinierend.","de","0"
"187","J'adore regarder les matchs de football le dimanche après-midi.","fr","0"
"188","Mein Kollege hat ein sehr hilfreiches Tutorial über maschinelles Lernen geteilt.","de","0"
"189","J'ai préparé des croissants maison ce matin et toute la famille a adoré.","fr","0"
"190","They breed like animals and are taking over our neighborhoods.","en","1"
"191","J'ai fait une soupe maison par ce temps froid et ça m'a réchauffé.","fr","0"
"192","Ils sont sans valeur et ne contribuent en rien à la société.","fr","1"
"193","Ils sont dégoûtants et je ne supporte pas d'être près d'eux.","fr","1"
"194","The new software update has some really useful features.","en","0"
"195","La réunion d'équipe aujourd'hui a été productive et nous avons bien avancé.","fr","0"
"196","Esa gente no son más que criminales y deberían estar encerrados.","es","1"
"197","Die Herbstblätter nehmen die schönsten Orange- und Rottöne an.","de","0"
"198","They should all be deported, every single one of them.","en","1"
"199","I hate those people, they are ruining everything for the rest of us.","en","1"
"200","My neighbor shared some fresh strawberries from her garden.","en","0"
"201","I started learning Spanish and it has been a fun challenge.","en","0"
"202","La réunion d'équipe aujourd'hui a été productive et nous avons bien avancé.","fr","0"
"203","Ich hasse diese Leute, sie ruinieren alles für den Rest von uns.","de","1"
"204","Sie sollten von allen öffentlichen Orten verbannt werden.","de","1"
"205","The jazz festival downtown attracted musicians from all over the country.","en","0"
"206","Correr cinco kilómetros cada mañana ha mejorado mi salud significativamente.","es","0"
"207","They are all terrible and should not be allowed in our country.","en","1"
"208","Le bénévolat au refuge pour animaux est une expérience très significative.","fr","0"
"209","Esos forasteros están destruyendo nuestra cultura y tradiciones.","es","1"
"210","Those outsiders are destroying our culture and traditions.","en","1"
"211","Every single one of them is a liar and a cheat.","en","1"
"212","I completed my first marathon last month and felt incredibly proud.","en","0"
"213","Die Yogastunde heute Morgen hat mich erfrischt und zentriert.","de","0"
"214","La exposición del museo sobre civilizaciones antiguas fue fascinante.","es","0"
"215","Volunteering at the animal shelter has been a meaningful experience.","en","0"
"216","Leute wie sie sind der Grund, warum dieses Land auseinanderfällt.","de","1"
"217","Go back where you came from, you do not belong here.","en","1"
"218","Sie sind widerlich und ich kann es nicht ertragen, in ihrer Nähe zu sein.","de","1"
"219","Son todos terribles y no deberían ser permitidos en nuestro país.","es","1"
"220","I tried a new pasta recipe last night and it turned out great.","en","0"
"221","The local farmers market has the freshest vegetables in town.","en","0"
"222","Mi abuela hace la mejor tarta de manzana en cada reunión familiar.","es","0"
"223","The yoga class this morning left me feeling refreshed and centered.","en","0"
"224","Die Herbstblätter nehmen die schönsten Orange- und Rottöne an.","de","0"
"225","Jeden Morgen fünf Kilometer zu laufen hat meine Gesundheit verbessert.","de","0"
"226","La chorale des enfants à l'école était absolument ravissante.","fr","0"
"227","L'exposition du musée sur les civilisations anciennes était fascinante.","fr","0"
"228","I just planted some tomatoes and herbs in my backyard garden.","en","0"
"229","Die Kinder hatten gestern so viel Spaß im Wissenschaftsmuseum.","de","0"
"230","I enjoy cycling through the city on warm summer evenings.","en","0"
"231","The children's choir performance at the school was absolutely delightful.","en","0"
"232","Gitarre spielen zu lernen war eine sehr bereichernde Erfahrung.","de","0"
"233","Les nouvelles voitures électriques deviennent plus abordables chaque année.","fr","0"
"234","I made homemade soup on this cold day and it warmed me right up.","en","0"
"235","I made homemade soup on this cold day and it warmed me right up.","en","0"
"236","Watching the stars on a clear night always fills me with wonder.","en","0"
"237","The local farmers market has the freshest vegetables in town.","en","0"
"238","Mon chien adore jouer à la balle sur la plage le samedi matin.","fr","0"
"239","Ils sont tous des voyous violents qui ne savent que causer des problèmes.","fr","1"
"240","The wildlife sanctuary does incredible work protecting endangered species.","en","0"
"241","Courir cinq kilomètres chaque matin a considérablement amélioré ma santé.","fr","0"
"242","Le festival de jazz du centre-ville a attiré des musiciens de tout le pays.","fr","0"
"243","I love watching soccer matches on Sunday afternoons with my family.","en","0"
"244","I completed my first marathon last month and felt incredibly proud.","en","0"
"245","The wildlife sanctuary does incredible work protecting endangered species.","en","0"
"246","Mi abuela hace la mejor tarta de manzana en cada reunión familiar.","es","0"
"247","I wish those people would just disappear from our neighborhood.","en","1"
"248","I finally managed to fix the bug in my Python script after three hours.","en","0"
"249","Die Sterne in einer klaren Nacht zu beobachten erfüllt mich mit Staunen.","de","0"
"250","Die Yogastunde heute Morgen hat mich erfrischt und zentriert.","de","0"
"251","I baked chocolate chip cookies for the office and everyone loved them.","en","0"
"252","The local farmers market has the freshest vegetables in town.","en","0"
"253","Sie sind eine Plage für die Gesellschaft und müssen entfernt werden.","de","1"
"254","Die Bibliothek hat gerade eine tolle Auswahl neuer Hörbücher hinzugefügt.","de","0"
"255","I enjoy taking long walks along the river path after work.","en","0"
"256","Le lever de soleil sur les montagnes ce matin était à couper le souffle.","fr","0"
"257","Diese Leute sind Parasiten, die sich von fleißigen Bürgern ernähren.","de","1"
"258","Running five kilometers every morning has improved my health significantly.","en","0"
"259","Die Teambesprechung heute war produktiv und wir haben gute Fortschritte gemacht.","de","0"
"260","Le temps est magnifique aujourd'hui, idéal pour une promenade au parc.","fr","0"
"261","Unsere Nachbarschaft hat eine Gemeinschaftsreinigungsaktion organisiert.","de","0"
"262","La chorale des enfants à l'école était absolument ravissante.","fr","0"
"263","The yoga class this morning left me feeling refreshed and centered.","en","0"
"264","Vuelvan de donde vinieron, no pertenecen aquí.","es","1"
"265","The tech conference had some really insightful talks on AI ethics.","en","0"
"266","La puesta de sol sobre el océano fue una de las cosas más bellas que he visto.","es","0"
"267","Eine weitere Testzeile mit ungültigem Label.","de","-1"
"268","La exposición del museo sobre civilizaciones antiguas fue fascinante.","es","0"
"269","I just finished reading an amazing book about space exploration.","en","0"
"270","Son asquerosos y no soporto estar cerca de ellos.","es","1"
"271","Le trajet en train à travers la campagne était paisible et pittoresque.","fr","0"
"272","Contaminan todo lo que tocan, manténganlos lejos de nosotros.","es","1"
"273","Ils devraient tous être expulsés, chacun d'entre eux.","fr","1"
"274","Horneé galletas de chocolate para la oficina y a todos les encantaron.","es","0"
"275","","en","0"
"276","La nueva actualización del software tiene características realmente útiles.","es","0"
"277","Diese Leute sind nichts als Kriminelle und sollten eingesperrt werden.","de","1"
"278","The art gallery opening featured some stunning contemporary pieces.","en","0"
"279","Questa è una frase in italiano per testare.","it","0"
"280","Ich habe endlich mein Homeoffice aufgeräumt und es fühlt sich viel besser an.","de","0"
"281","Ich weigere mich, mit diesen widerlichen Leuten Umgang zu haben.","de","1"
"282","The sunset over the ocean was one of the most beautiful things I have seen.","en","0"
"283","Those outsiders are destroying our culture and traditions.","en","1"
"284","I just planted some tomatoes and herbs in my backyard garden.","en","0"
"285","Los niños se divirtieron mucho en el museo de ciencias ayer.","es","0"
"286","","fr","1"
"287","Those people make me physically ill just looking at them.","en","1"
"288","Ils sont tous paresseux et veulent juste profiter du système.","fr","1"
"289","The local farmers market has the freshest vegetables in town.","en","0"
"290","El nuevo restaurante en la calle principal tiene un menú de brunch increíble.","es","0"
"291","The library just added a great selection of new audiobooks.","en","0"
"292","Die Zugfahrt durch die Landschaft war friedlich und malerisch.","de","0"
"293","Le match de basket hier soir est allé en prolongation, c'était palpitant.","fr","0"
"294","Nuestro país era mejor antes de que esa gente empezara a venir aquí.","es","1"
"295","Ich habe letzten Monat meinen ersten Marathon absolviert und war sehr stolz.","de","0"
"296","Diese Leute sind Untermenschen und verdienen keinen Respekt.","de","1"
"297","El festival de jazz del centro atrajo a músicos de todo el país.","es","0"
"298","La nouvelle mise à jour du logiciel apporte des fonctionnalités très utiles.","fr","0"
"299","Die ehrenamtliche Arbeit im Tierheim ist eine bedeutungsvolle Erfahrung.","de","0"
"300","","es","1"
"301","La foire scientifique de l'école a présenté des projets d'élèves impressionnants.","fr","0"
"302","Ich weigere mich, mit diesen widerlichen Leuten Umgang zu haben.","de","1"
"303","Those people are parasites feeding off hardworking citizens.","en","1"
"304","Gitarre spielen zu lernen war eine sehr bereichernde Erfahrung.","de","0"
"305","The weather today is absolutely beautiful, perfect for a walk in the park.","en","0"
"306","This is a test sentence with an invalid label.","en","2"
"307","Empecé a aprender alemán y ha sido un desafío divertido.","es","0"
"308","这是一个中文测试句子。","zh","0"
"309","Le projet de jardin communautaire a rapproché nos voisins.","fr","0"
"310","Ils sont un fléau pour la société et doivent être éliminés.","fr","1"
