review,sentiment,split
The ending was terrible and ruined whatever little goodwill the film had.,negative,train
The chemistry between the leads was electric and the dialogue was sharp.,positive,train
A fantastic film that exceeded all my expectations in every way.,positive,test
A soulless and mechanical film that lacks any genuine emotion.,negative,test
A delightful movie that made me laugh and cry in equal measure.,positive,train
I thoroughly enjoyed this film and would recommend it to anyone.,positive,train
The film was engaging and thought provoking with a satisfying conclusion.,positive,train
I found nothing enjoyable about this poorly written and acted film.,negative,test
This movie proves that great cinema is alive and well today.,positive,test
I was thoroughly unimpressed by every aspect of this terrible movie.,negative,test
A pointless and meandering film with no clear direction or purpose.,negative,test
An uninspired and lazy effort that feels like a cash grab.,negative,train
The story was original and the execution was nothing short of brilliant.,positive,test
A clumsy and awkward movie that never finds its footing at all.,negative,train
The movie was a perfect blend of action and heartfelt emotion.,positive,test
The acting was superb and the storyline was captivating from start to finish.,positive,test
A terrible film with awful acting and a nonsensical plot throughout.,negative,train
I was bored out of my mind for the entire duration of this movie.,negative,train
This movie was absolutely wonderful and I loved every minute of it.,positive,train
I found this film to be tedious and utterly devoid of entertainment.,negative,train
A terrible film with awful acting and a nonsensical plot throughout.,negative,test
I was bored out of my mind for the entire duration of this movie.,negative,test
A captivating story told with skill and passion by a talented team.,positive,train
A joyful and entertaining experience from beginning to end.,positive,test
The movie was a chore to sit through from beginning to end.,negative,train
A complete misfire that fails on every conceivable level.,negative,train
A shallow and superficial film with no substance or depth at all.,negative,train
A beautifully crafted film with excellent pacing and great music.,positive,test
An absolute disaster of a movie that should never have been made.,negative,test
The special effects were cheap and the story was predictable and dull.,negative,test
I loved the way the story unfolded with such grace and beauty.,positive,train
The dialogue was cringe worthy and the plot was beyond ridiculous.,negative,test
The direction was lazy and the script was full of cliches and holes.,negative,test
A delightful movie that made me laugh and cry in equal measure.,positive,test
The story was original and the execution was nothing short of brilliant.,positive,train
A bland and uninspiring film that left me feeling empty inside.,negative,test
I struggled to stay awake during this painfully slow and dull film.,negative,train
A brilliant masterpiece that kept me on the edge of my seat throughout.,positive,test
The movie had great depth and the characters were well developed.,positive,test
An outstanding piece of cinema that deserves all the praise it gets.,positive,test
I was blown away by the performances and the beautiful cinematography.,positive,test
I cannot say enough good things about this remarkable film.,positive,train
A complete misfire that fails on every conceivable level.,negative,test
The movie was confusing and the plot holes were impossible to ignore.,negative,test
I have seen better acting in low budget student films than this.,negative,test
The special effects were cheap and the story was predictable and dull.,negative,train
A warm and funny movie that the whole family can enjoy together.,positive,test
The acting was superb and the storyline was captivating from start to finish.,positive,train
A disappointing mess that fails to deliver on any of its promises.,negative,train
The soundtrack perfectly complemented the mood of every scene.,positive,train
The humor fell flat and the dramatic scenes were unintentionally funny.,negative,train
This movie was a complete waste of time and I regret watching it.,negative,train
This film is a triumph of storytelling and visual artistry.,positive,test
The characters were one dimensional and impossible to care about.,negative,test
The acting was wooden and the dialogue was painfully bad throughout.,negative,train
"I could not wait for this movie to end, it was that unbearable.",negative,test
I found nothing enjoyable about this poorly written and acted film.,negative,train
The acting was so bad it was almost comical in the worst way.,negative,test
A truly uplifting and inspiring movie that touched my heart deeply.,positive,test
An embarrassing effort that should be forgotten as quickly as possible.,negative,test
The movie had potential but was ruined by terrible execution.,negative,test
A spectacular movie that delivers on every level imaginable.,positive,train
A frustrating movie that wastes a talented cast on a terrible script.,negative,test
An overlong and bloated movie that desperately needed better editing.,negative,train
The director did an amazing job bringing this story to life on screen.,positive,test
The ending was terrible and ruined whatever little goodwill the film had.,negative,test
The film was engaging and thought provoking with a satisfying conclusion.,positive,test
The movie had potential but was ruined by terrible execution.,negative,train
The movie was confusing and the plot holes were impossible to ignore.,negative,train
"I would not recommend this movie to anyone, save your money.",negative,train
The movie tried to be too many things and ended up being nothing.,negative,test
A forgettable and mediocre film that brings nothing new to the table.,negative,train
A rare film that manages to be both entertaining and meaningful.,positive,test
The movie tried to be too many things and ended up being nothing.,negative,train
A powerful and moving film that left a lasting impression on me.,positive,train
The characters were one dimensional and impossible to care about.,negative,train
The humor was spot on and the dramatic moments were genuinely touching.,positive,train
I was completely absorbed by this movie and did not want it to end.,positive,test
A pretentious and self-indulgent film that tries too hard to be clever.,negative,test
"The worst film I have seen this year, absolutely dreadful in every way.",negative,train
I found this film to be tedious and utterly devoid of entertainment.,negative,test
An overlong and bloated movie that desperately needed better editing.,negative,test
A beautifully crafted film with excellent pacing and great music.,positive,train
"Truly entertaining and emotionally moving, a must-see for everyone.",positive,test
A forgettable and mediocre film that brings nothing new to the table.,negative,test
A smart and witty film that never talks down to its audience.,positive,test
I deeply regret spending my evening watching this awful movie.,negative,train
A pretentious and self-indulgent film that tries too hard to be clever.,negative,train
I have seen better acting in low budget student films than this.,negative,train
"The worst film I have seen this year, absolutely dreadful in every way.",negative,train
I was thoroughly unimpressed by every aspect of this terrible movie.,negative,train
The cinematography was gorgeous and every frame was a work of art.,positive,train
The screenplay was intelligent and the direction was flawless.,positive,train
The cinematography was gorgeous and every frame was a work of art.,positive,test
The performances were top notch and the writing was excellent.,positive,test
This is a gem of a movie that restores your faith in good filmmaking.,positive,test
I cannot say enough good things about this remarkable film.,positive,test
The movie was a perfect blend of action and heartfelt emotion.,positive,train
The screenplay was intelligent and the direction was flawless.,positive,test
The pacing was awful and the movie dragged on far too long.,negative,train
The pacing was awful and the movie dragged on far too long.,negative,test
I thoroughly enjoyed this film and would recommend it to anyone.,positive,test
An exceptional film that combines humor and drama perfectly.,positive,train
The humor fell flat and the dramatic scenes were unintentionally funny.,negative,test
A dull and lifeless film that completely failed to engage me.,negative,test
I walked out of the theater feeling happy and deeply satisfied.,positive,test
A spectacular movie that delivers on every level imaginable.,positive,test
A clumsy and awkward movie that never finds its footing at all.,negative,test
A gripping and emotional journey that stays with you long after.,positive,train
I walked out of the theater feeling happy and deeply satisfied.,positive,train
An aggressively mediocre film that insults the intelligence of viewers.,negative,train
A gripping and emotional journey that stays with you long after.,positive,test
I cannot believe how bad this movie turned out to be overall.,negative,test
This movie was absolutely wonderful and I loved every minute of it.,positive,test
The film was a huge letdown and did not live up to expectations.,negative,train
A truly uplifting and inspiring movie that touched my heart deeply.,positive,train
The special effects were breathtaking and the story was compelling.,positive,test
The emotional depth of this film is truly remarkable and rare.,positive,train
A dull and lifeless film that completely failed to engage me.,negative,train
I have never been so bored watching a movie in my entire life.,negative,train
An outstanding piece of cinema that deserves all the praise it gets.,positive,train
An inspiring tale that reminds us of the power of the human spirit.,positive,test
I struggled to stay awake during this painfully slow and dull film.,negative,test
The plot twists were clever and the ending was deeply satisfying.,positive,test
Wonderful performances from the entire cast made this film shine.,positive,test
The movie had great depth and the characters were well developed.,positive,train
Every scene was perfectly executed and the film flowed beautifully.,positive,test
The chemistry between the leads was electric and the dialogue was sharp.,positive,test
I was bored out of my mind for the entire duration of this movie.,negative,train
An outstanding piece of cinema that deserves all the praise it gets.,positive,test
This movie was absolutely wonderful and I loved every minute of it.,positive,train
I was impressed by the quality of acting and the strength of the script.,positive,train
I found this film to be tedious and utterly devoid of entertainment.,negative,test
I thoroughly enjoyed this film and would recommend it to anyone.,positive,test
A brilliant masterpiece that kept me on the edge of my seat throughout.,positive,train
"The worst film I have seen this year, absolutely dreadful in every way.",negative,test
A warm and funny movie that the whole family can enjoy together.,positive,train
A brilliant masterpiece that kept me on the edge of my seat throughout.,positive,train
The soundtrack perfectly complemented the mood of every scene.,positive,test
"I would not recommend this movie to anyone, save your money.",negative,test
I was deeply disappointed by this film after all the hype around it.,negative,train
The emotional depth of this film is truly remarkable and rare.,positive,test
A poorly made film with no redeeming qualities whatsoever.,negative,train
The direction was lazy and the script was full of cliches and holes.,negative,test
A disappointing mess that fails to deliver on any of its promises.,negative,test
The film was a huge letdown and did not live up to expectations.,negative,test
The plot made no sense and the characters were completely unlikable.,negative,test
An exceptional film that combines humor and drama perfectly.,positive,test
The dialogue was cringe worthy and the plot was beyond ridiculous.,negative,train
A beautifully crafted film with excellent pacing and great music.,positive,test
I felt cheated after watching this poorly constructed film.,negative,test
I felt cheated after watching this poorly constructed film.,negative,train
The humor was spot on and the dramatic moments were genuinely touching.,positive,test
A refreshing and original movie that stands out from the crowd.,positive,test
A joyful and entertaining experience from beginning to end.,positive,train
The director did an amazing job bringing this story to life on screen.,positive,train
"Truly entertaining and emotionally moving, a must-see for everyone.",positive,train
The plot made no sense and the characters were completely unlikable.,negative,train
A shallow and superficial film with no substance or depth at all.,negative,test
Every scene was perfectly executed and the film flowed beautifully.,positive,train
An embarrassing effort that should be forgotten as quickly as possible.,negative,train
An incredible movie with stunning visuals and a heartwarming story.,positive,train
I deeply regret spending my evening watching this awful movie.,negative,test
I was completely absorbed by this movie and did not want it to end.,positive,train
The special effects were cheap and the story was predictable and dull.,negative,test
An absolute pleasure to watch from the very first scene to the last.,positive,train
I loved the way the story unfolded with such grace and beauty.,positive,test
A captivating story told with skill and passion by a talented team.,positive,test
I found myself completely invested in the characters and their journey.,positive,test
I was deeply disappointed by this film after all the hype around it.,negative,test
A fantastic film that exceeded all my expectations in every way.,positive,train
The performances were top notch and the writing was excellent.,positive,train
The movie was a chore to sit through from beginning to end.,negative,test
